371289060	691082334	683271349	992883654	968401072
889673745	506166839	384967170	916703010	205289531
303027533	268058542	269605067	797603720	915507095
883101412	125929271	696077072	808911215	333552304
479943754	235546989	719802800	645624982	610275096
140400201	65697573	243159633	866671972	98364999
997259445	545667907	158629328	526996239	748559073
914946800	895260139	746585689	277847843	799218248
424828557	461628751	308650354	223620578	940694578
150693014	297257851	465712767	338985762	237516937
394425041	460616920	418208823	72792316	925530317
794633949	8738805	325797690	640688377	537382352
500654049	701437258	356976881	878052200	570902933
967259093	600518226	107104809	611917429	661267504
592898416	20709146	178168725	875262962	125993527
733777470	896458923	971355130	886297606	962813161
718069558	321166090	873885304	598989317	475269782
502329527	577459158	510004866	761571993	170731381
689435210	527607561	921149168	772308782	801017733
118236175	638372880	932472937	314764749	960073780
241746270	492324556	379487488	504468106	75886783
964512322	259051933	915520143	554847436	309070431
432407625	95609510	127714468	364005276	422198608
139405691	384570306	958608893	148456669	658594464
3232955	810630990	55049326	81374703	479775140
963070270	600175508	849867525	624132541	469156803
728545327	720478562	627423225	369271127	231051048
511416584	384274454	721038039	466922257	580800347
672755692	77234674	768199620	623772284	725243023
440947855	217785735	353591753	785957658	77860532
903515723	362142406	999138998	585284934	106087720
355610467	910527251	994871013	110613818	623652962
732670376	841158582	910918347	408192002	611581184
471926236	681252988	913505301	665843827	307991099
925472862	138743412	473398499	37565376	647348718
450789673	89397992	24063714	305879331	970491008
7275461	413770455	509177642	462760471	681927191
373477744	85024755	562375054	174374937	943419667
364599640	705511623	209351018	669842088	724183488
906580408	958052348	370924342	224352055	820016791
223478447	786703766	856598049	131128514	968496319
442121738	318885181	521276679	429796798	882250443
755840963	859255966	128445793	170497425	465761108
337204875	608466643	395661808	763320930	981729465
190420830	499619502	357152735	618379116	539075544
906338660	626424193	717246377	686423233	28032376
51593821	372097173	192778442	465885967	695647379
580842654	707029605	906101261	498220402	591485910
380217831	266204441	260427614	609775904	346180371
298914594	680437473	362334600	449576664	353393132
673520676	873308716	657370476	526417466	203433180
756202841	504306673	130994203	493153740	331335925
569516366	965673284	946162	25370303	431010164
936468044	370815432	511141070	866052740	809728131
369971071	693703425	998576462	12976909	838215770
423200472	125318089	714585974	609056192	616133379
544672987	690662635	418093158	559754521	623814981
372152649	658688577	880085546	971316754	600343195
851226004	641874863	68245506	217726318	861317737
830757462	244522728	299934127	980096792	343186772
141864179	745580768	159820992	473093852	878983918
24066806	611485520	506522272	848114564	126577561
732331775	861716674	434768858	626565038	956385644
999974394	346491637	248192620	749999822	819978956
366322235	19920790	983053660	600775015	342361303
749037714	246867319	509468115	949936360	432864396
8672056	448200473	874064079	603510509	95016713
488074990	658377761	70480621	153090704	516046677
248593319	673506710	590776289	478784268	243709323
850918552	436730386	421812546	549132289	358979765
826269817	334864564	542571368	951396885	687967593
181444861	361805750	562722196	160350516	449005806
863279360	985982355	178532682	948271915	526442139
72177846	183746727	77837026	636712720	32574075
80245288	333028371	825979037	994892523	712475231
665448236	714352797	858497759	140707483	646398671
72447597	516401440	694337720	363940041	198488346
818471692	757739377	678707577	807805227	704417479
9169781	907937726	708636434	501083002	985111347
920269490	417956753	932043238	56727822	827418124
985041680	3398459	92994743	550317920	243725521
279714420	723793178	823504543	440875125	874328789
938860753	838486463	510088051	775357884	400501875
41390297	295030200	143934082	619350156	270920369
463097207	562184375	699209468	615770254	401839381
50783372	656923533	908675130	320241347	640399813
803322957	594727435	698858871	998133046	60383645
420902723	347407377	150528942	106931089	404518994
656683450	529914004	767908903	942910339	511834010
441202374	517804450	609695996	286882072	588894959
645449134	207371437	222003257	960074380	930649144
570298608	633366159	213836524	728520080	595667544
132693065	129759218	594190977	586327603	811108920
906223349	538495495	373140063	276520221	913410471
726801388	859585868	915073570	155977741	45887405
548332411	848689629	493682024	672676931	540483493
609930555	381864800	668724736	498039101	516194653
405189737	157333194	950545883	498061709	297938689
896731439	131422015	538512117	860163095	602642705
840498213	666922565	223991903	34842482	512369195
701838481	697643619	839088897	685824434	482947650
164778245	745954422	489151365	693455207	673665318
166831311	815535636	543288263	720239917	685782488
155536896	719808357	626671909	312788679	128624639
694680302	462004436	707883303	332873952	73261075
57188926	573502146	741449873	519070795	34265918
477296490	822329514	956765452	643968235	668798769
226950171	174593534	471517124	372079704	984284428
547789317	486147184	743050451	89877475	480347111
672138045	834087646	802430084	616098522	374326208
829268160	746963605	480681092	699230721	927899163
934899581	483661677	948721696	668374806	199071759
