seed,condition,tau,nitems,npersons,insample,aic,bic,newpersons,newitems,newboth,failures,model
992883654,1,0,32,500,19287.28003662954,19301.28003662954,19355.04244463809,19291.30100562051,19294.50928941783,19295.46378619364,0,1
916703010,2,.1,32,500,19492.89333945892,19506.89333945892,19560.65574746748,19520.72474923151,19500.78811998013,19517.26347838195,0,1
797603720,3,.3,32,500,19121.62921246365,19135.62921246365,19189.39162047221,19161.00001171346,19174.59637226563,19178.18988407867,0,1
808911215,4,.5,32,500,19661.6569833765,19675.6569833765,19729.41939138505,19669.34550025184,19674.60920653134,19705.53706768485,0,1
645624982,5,.3,64,500,38619.2834035445,38633.2834035445,38691.89784181697,38623.99464003427,38621.57821450105,38629.97812149078,0,1
866671972,6,.3,96,500,56676.48757879606,56690.48757879606,56751.94027282529,56683.70709912074,56702.93150733578,56712.33982878262,0,1
526996239,7,.3,128,500,74516.67458216581,74530.67458216581,74594.14105070221,74533.19107786413,74529.68100142368,74539.75649329751,0,1
277847843,1,0,32,500,19715.92292920807,19729.92292920807,19783.68533721663,19737.6310108857,19723.99907313175,19735.10677689186,0,1
223620578,2,.1,32,500,19534.5560727089,19548.5560727089,19602.31848071746,19539.12100627896,19545.39053542893,19555.22280433174,0,1
338985762,3,.3,32,500,19511.452034182,19525.452034182,19579.21444219055,19513.39560234998,19579.5248328602,19606.57572726305,0,1
72792316,4,.5,32,500,18920.4570447521,18934.4570447521,18988.21945276065,18935.91955914126,19118.25776135822,19160.29014449588,0,1
640688377,5,.3,64,500,37846.75720573324,37860.75720573324,37919.37164400572,37859.50002272515,37886.35899044016,37893.44448142497,0,1
878052200,6,.3,96,500,57295.45903097458,57309.45903097458,57370.9117250038,57313.5523286501,57314.14946816756,57368.16389221312,0,1
611917429,7,.3,128,500,75077.6476989769,75091.6476989769,75155.1141675133,75086.99130667005,75091.35586507058,75102.39361406346,0,1
875262962,1,0,32,500,19289.31109126323,19303.31109126323,19357.07349927178,19294.23118677919,19295.50419219636,19291.53740590283,0,1
886297606,2,.1,32,500,19356.02134853069,19370.02134853069,19423.78375653924,19362.03138751109,19378.94003099549,19375.44820230873,0,1
