seed,condition,tau,nitems,npersons,insample,aic,bic,newpersons,newitems,newboth,failures,model
683271349,1,0,32,500,19282.92121343733,19296.92121343733,19350.68362144589,19292.49741264053,19291.10526904372,19306.8163535708,0,1
384967170,2,.1,32,500,19368.8234318939,19382.8234318939,19436.58583990246,19380.81795900967,19384.01550129219,19386.34979548633,0,1
269605067,3,.3,32,500,19656.57149443695,19670.57149443695,19724.33390244551,19677.03325975352,19671.08391250291,19672.84021998207,0,1
696077072,4,.5,32,500,19793.33619485925,19807.33619485925,19861.0986028678,19806.76835008345,19922.86781086959,19914.28632180026,0,1
719802800,5,.3,64,500,38076.86609933405,38090.86609933405,38149.48053760652,38093.78638367553,38127.93941280387,38128.04973921702,0,1
243159633,6,.3,96,500,57579.95724255758,57593.95724255758,57655.40993658681,57583.05942077978,57591.43816146826,57597.71184553493,0,1
158629328,7,.3,128,500,74911.70990580272,74925.70990580272,74989.17637433912,74915.94137461945,74925.46388325949,74939.19589504319,0,1
746585689,1,0,32,500,19006.30508020344,19020.30508020344,19074.067488212,19017.65036428713,19023.4881993925,19017.74690936212,0,1
308650354,2,.1,32,500,19276.29919390099,19290.29919390099,19344.06160190954,19300.51132350262,19297.8377923884,19304.249382642,0,1
465712767,3,.3,32,500,19435.70326208952,19449.70326208952,19503.46567009807,19443.96873655294,19497.81634936104,19537.71038380081,0,1
418208823,4,.5,32,500,19624.24847657499,19638.24847657499,19692.01088458355,19631.60634768448,19799.61714459958,19809.45787872732,0,1
325797690,5,.3,64,500,38008.01996271186,38022.01996271186,38080.63440098433,38030.52145833494,38060.16366106856,38064.33969858895,0,1
356976881,6,.3,96,500,56791.62091948665,56805.62091948665,56867.07361351588,56805.21453373551,56796.49254761152,56849.02183378222,0,1
107104809,7,.3,128,500,74262.49131507859,74276.49131507859,74339.95778361498,74279.63462987095,74350.46951404917,74390.88433159467,0,1
178168725,1,0,32,500,19303.44024400237,19317.44024400237,19371.20265201093,19310.06777381425,19306.45002455359,19312.74253861556,0,1
971355130,2,.1,32,500,19301.79916600078,19315.79916600078,19369.56157400933,19310.04000928128,19314.78735052937,19320.40937562654,0,1
873885304,3,.3,32,500,19601.92867031552,19615.92867031552,19669.69107832408,19612.47455453583,19626.25158956941,19649.27876051422,0,1
510004866,4,.5,32,500,19282.21220500959,19296.21220500959,19349.97461301814,19290.06159718204,19432.85928356841,19446.93304712961,0,1
921149168,5,.3,64,500,38030.92742757159,38044.92742757159,38103.54186584407,38054.93504381619,38174.20713897612,38168.06978516481,0,1
932472937,6,.3,96,500,57472.65070962119,57486.65070962119,57548.10340365041,57484.728392899,57509.19453393404,57527.83310290984,0,1
379487488,7,.3,128,500,75762.89825137986,75776.89825137986,75840.36471991625,75768.23767157941,75818.8961823966,75832.00772723257,0,1
915520143,1,0,32,500,19653.29116373153,19667.29116373153,19721.05357174009,19665.62946468753,19657.67641368239,19670.3344697606,0,1
127714468,2,.1,32,500,19565.99067795584,19579.99067795584,19633.7530859644,19576.62809124604,19567.18074279875,19582.77536240277,0,1
958608893,3,.3,32,500,19537.30429414054,19551.30429414054,19605.0667021491,19549.63073416228,19590.1532612067,19631.81194612666,0,1
55049326,4,.5,32,500,19342.78293389494,19356.78293389494,19410.5453419035,19355.1633564234,19586.41243443848,19575.88367008786,0,1
849867525,5,.3,64,500,38512.06769846871,38526.06769846871,38584.68213674118,38528.35074423294,38535.87858456984,38558.80999780757,0,1
627423225,6,.3,96,500,57132.383177706,57146.383177706,57207.83587173523,57147.80518994755,57228.936640277,57212.52480110715,0,1
721038039,7,.3,128,500,76551.06316722768,76565.06316722768,76628.52963576408,76564.32863169674,76714.62507616021,76679.95889971257,0,1
768199620,1,0,32,500,19141.00414253775,19155.00414253775,19208.7665505463,19152.22562759304,19145.61074323572,19153.40653367123,0,1
353591753,2,.1,32,500,19407.01514252487,19421.01514252487,19474.77755053343,19421.0174530507,19413.00290776471,19428.99856912458,0,1
