seed,condition,tau,nitems,npersons,insample,aic,bic,newpersons,newitems,newboth,failures,model
968401072,1,0,32,500,19752.11450978664,19770.11450978664,19839.23760579764,19780.65560684788,19759.95766572113,19771.47658894375,0,3
205289531,2,.1,32,500,19792.86785931642,19810.86785931642,19879.99095532741,19813.36890096313,19824.01586930129,19857.62803780124,0,3
915507095,3,.3,32,500,19117.64300653994,19135.64300653994,19204.76610255093,19131.55390594606,19153.93630149143,19147.29525163543,0,3
333552304,4,.5,32,500,19913.14371816756,19931.14371816756,20000.26681417855,19931.71031466422,20112.02074128693,20134.38957424467,0,3
610275096,5,.3,64,500,37848.0501135531,37866.0501135531,37941.41153418914,37858.57219955751,38032.91159697944,38036.12392558371,0,3
98364999,6,.3,96,500,56865.13748708607,56883.13748708607,56962.14809369508,56907.54793546075,57044.93880774652,57052.92812319144,0,3
748559073,7,.3,128,500,76247.37851016579,76265.37851016579,76346.97825542686,76257.129567998,76336.93706496837,76343.69345365667,0,3
799218248,1,0,32,500,19326.00287232821,19344.00287232821,19413.12596833921,19339.82421816318,19334.24588854672,19337.3141791464,0,3
940694578,2,.1,32,500,19185.8179591723,19203.8179591723,19272.9410551833,19198.71127826414,19204.0694459044,19217.87437834846,0,3
237516937,3,.3,32,500,19347.37832945462,19365.37832945462,19434.50142546562,19352.3932883291,19421.96106253026,19392.44951340722,0,3
925530317,4,.5,32,500,19228.69040233184,19246.69040233184,19315.81349834283,19244.02444053103,19316.22330348475,19327.49857267241,0,3
537382352,5,.3,64,500,38430.15135964561,38448.15135964561,38523.51278028165,38448.21348376964,38595.28909094675,38621.71031685885,0,3
570902933,6,.3,96,500,56503.28254081382,56521.28254081382,56600.29314742282,56516.62457204034,56590.95080339529,56574.68835460374,0,3
661267504,7,.3,128,500,76547.29455044946,76565.29455044946,76646.89429571053,76562.58769802345,76613.33842550426,76606.46074744084,0,3
125993527,1,0,32,500,19493.14631536137,19511.14631536137,19580.26941137237,19505.14366322052,19517.10278452535,19498.69000105779,0,3
962813161,2,.1,32,500,19434.87347008086,19452.87347008086,19521.99656609186,19451.91334400178,19466.26428011268,19461.56140318596,0,3
475269782,3,.3,32,500,19573.02606804917,19591.02606804917,19660.14916406017,19585.06617679935,19671.84400603043,19657.1835046855,0,3
170731381,4,.5,32,500,19188.09453253809,19206.09453253809,19275.21762854909,19204.49676544196,19345.00385472932,19377.14646750494,0,3
801017733,5,.3,64,500,38323.76735850075,38341.76735850075,38417.12877913679,38331.40776572145,38382.53870916141,38419.10271826297,0,3
960073780,6,.3,96,500,56738.47347768953,56756.47347768953,56835.48408429854,56756.29796749204,56834.34440181832,56822.70669159415,0,3
75886783,7,.3,128,500,75639.13726517659,75657.13726517659,75738.73701043766,75657.09693349358,75794.97363869711,75745.9976917617,0,3
309070431,1,0,32,500,19276.7980101419,19294.7980101419,19363.9211061529,19284.56399107308,19285.36546615002,19285.56367059812,0,3
422198608,2,.1,32,500,19171.22787464911,19189.22787464911,19258.35097066011,19190.41769239239,19191.36486387809,19228.16873475839,0,3
658594464,3,.3,32,500,19668.60491338216,19686.60491338216,19755.72800939316,19682.18572261202,19770.91596949305,19743.37143728587,0,3
479775140,4,.5,32,500,19739.4946794082,19757.4946794082,19826.6177754192,19763.90815063974,20016.08994643033,19983.44012560376,0,3
469156803,5,.3,64,500,38372.26742082981,38390.26742082981,38465.62884146584,38408.65791769164,38521.56357958793,38588.66058107679,0,3
231051048,6,.3,96,500,56222.30450428306,56240.30450428306,56319.31511089207,56263.70143881759,56359.42249207946,56385.87504647155,0,3
580800347,7,.3,128,500,76239.45381770333,76257.45381770333,76339.0535629644,76257.90595329573,76342.25477940093,76369.61751240003,0,3
725243023,1,0,32,500,19521.32419946222,19539.32419946222,19608.44729547322,19545.76338177131,19531.63775067572,19532.40171630403,0,3
77860532,2,.1,32,500,19291.30290331626,19309.30290331626,19378.42599932726,19296.09062104118,19315.93341459673,19311.8896247739,0,3
106087720,3,.3,32,500,19492.12107901873,19510.12107901873,19579.24417502973,19496.39203480438,19659.78640472139,19727.25778108261,0,3
623652962,4,.5,32,500,19037.54847012108,19055.54847012108,19124.67156613208,19050.24877116937,19314.87375788517,19368.33670747213,0,3
611581184,5,.3,64,500,37930.90682381392,37948.90682381392,38024.26824444996,37941.03609133875,38011.47307162207,38035.49976227995,0,3
